CASE_STATUS,EMPLOYER_NAME,SOC_NAME,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,YEAR
CERTIFIED-WITHDRAWN,OMD USA LLC,MARKETING MANAGERS,"ASSOCIATE DIRECTOR, DIGITAL ANALYTICS",Y,108493.0,2016
CERTIFIED,THE GLOBAL ALLIANCE FOR TB DRUG DEVELOPMENT INC.,MARKETING MANAGERS,"SENIOR VP, MARKET ACCESS",Y,179774.0,2016
CERTIFIED,THE GATORADE COMPANY,MARKETING MANAGERS,"SENIOR MANAGER, SOCIAL MEDIA MARKETING & ANALYTICS",Y,123386.0,2016
CERTIFIED,"BOOMERANG COMMERCE, INC.",MARKETING MANAGERS,BUSINESS DEVELOPMENT MANAGER,Y,163877.0,2016
CERTIFIED,"AMAZON WEB SERVICES, INC.",MARKETING MANAGERS,SENIOR PRODUCT MANAGER,Y,115565.0,2016
CERTIFIED,CORNING INCORPORATED,MARKETING MANAGERS,COMPETITIVE INTELLIGENCE MANAGER,Y,123698.0,2016
CERTIFIED,"SNAP, INC.",MARKETING MANAGERS,"DIRECTOR, BUSINESS DEVELOPMENT",Y,124197.0,2016
CERTIFIED,ASTRAZENECA LP,MARKETING MANAGERS,ONCOLOGY INSIGHT LEADER,Y,120786.0,2016
CERTIFIED,STARBUCKS COFFEE COMPANY,MARKETING MANAGERS,BRAND MANAGER II,Y,115565.0,2016
CERTIFIED,"NXSTAGE MEDICAL, INC.",MARKETING MANAGERS,ASSOCIATE PRODUCT MANAGER,Y,91312.0,2016
CERTIFIED,MAYO CLINIC,MARKETING MANAGERS,NEW PRODUCTS AND SERVICES MANAGER,Y,101587.0,2016
CERTIFIED,POSSIBLE WORLDWIDE LLC,MARKETING MANAGERS,"ASSOCIATE DIRECTOR, USER EXPERIENCE",Y,77106.0,2016
CERTIFIED,"WAL-MART ASSOCIATES, INC.",MARKETING MANAGERS,"SENIOR DIRECTOR, PRODUCT STRATEGY",Y,179733.0,2016
CERTIFIED,CARNEGIE MELLON UNIVERSITY,MARKETING MANAGERS,DIRECTOR OF MARKETING,Y,71718.0,2016
WITHDRAWN,"FARIA SYSTEMS, INC.",MARKETING MANAGERS,MARKETING AND OPERATIONS DIRECTOR,Y,110074.0,2016
CERTIFIED,KOYO BEARINGS NORTH AMERICA LLC,MARKETING MANAGERS,LAUNCH MANAGER,Y,102211.0,2016
CERTIFIED,UNIVERSITY OF HAWAII,MARKETING MANAGERS,"PUBLIC INFO, PUBLIC EVENTS PLAN & PUB (MARKETING DIRECTOR)",N,50352.0,2016
CERTIFIED,"FARIA SYSTEMS, INC.",MARKETING MANAGERS,MARKETING AND OPERATIONS DIRECTOR,Y,110074.0,2016
CERTIFIED,ACCUEN INC.,MARKETING MANAGERS,"DIRECTOR, INSIGHTS",N,69618.0,2016
CERTIFIED,MAYO CLINIC,MARKETING MANAGERS,NEW PRODUCTS AND SERVICES MANAGER,Y,90002.0,2016
CERTIFIED,MAYO CLINIC,MARKETING MANAGERS,TECH IP DEVELOPMENT MANAGER,Y,90002.0,2016
CERTIFIED,"VMWARE, INC.",MARKETING MANAGERS,SENIOR PRODUCT MARKETING MANAGER,Y,167268.0,2016
